Title,Meta Score,Star Rating,Director,Year,Runtime,Rating
1. Nomadland,87,7.3,Chloé Zhao,2020,1h 47m,R
2. The Father,88,8.2,Florian Zeller,2020,1h 37m,PG-13
3. Judas and the Black Messiah,84,7.4,Shaka King,2021,2h 6m,R
4. Mank,79,6.8,David Fincher,2020,2h 11m,R
5. Minari,89,7.4,Lee Isaac Chung,2020,1h 55m,PG-13
6. Promising Young Woman,72,7.5,Emerald Fennell,2020,1h 53m,R
7. Sound of Metal,82,7.7,Darius Marder,2019,2h,R
8. The Trial of the Chicago 7,76,7.7,Aaron Sorkin,2020,2h 9m,R
9. Parasite,97,8.5,Bong Joon Ho,2019,2h 12m,R
10. Ford v Ferrari,81,8.1,James Mangold,2019,2h 32m,PG-13
11. Joker,59,8.3,Todd Phillips,2019,2h 2m,R
12. Marriage Story,94,7.9,Noah Baumbach,2019,2h 17m,R
13. The Irishman,94,7.8,Martin Scorsese,2019,3h 29m,R
14. 1917,78,8.2,Sam Mendes,2019,1h 59m,R
15. Jojo Rabbit,58,7.9,Taika Waititi,2019,1h 48m,PG-13
16. Little Women,91,7.8,Greta Gerwig,2019,2h 15m,PG
17. Once Upon a Time... in Hollywood,84,7.6,Quentin Tarantino,2019,2h 41m,R
18. Green Book,69,8.2,Peter Farrelly,2018,2h 10m,PG-13
19. Black Panther,88,7.3,Ryan Coogler,2018,2h 14m,PG-13
20. BlacKkKlansman,83,7.5,Spike Lee,2018,2h 15m,R
21. Bohemian Rhapsody,49,7.9,Bryan Singer,2018,2h 14m,PG-13
22. The Favourite,91,7.5,Yorgos Lanthimos,2018,1h 59m,R
23. Roma,96,7.6,Alfonso Cuarón,2018,2h 15m,R
24. A Star Is Born,88,7.6,Bradley Cooper,2018,2h 16m,R
25. Vice,61,7.2,Adam McKay,2018,2h 12m,R
26. The Shape of Water,87,7.3,Guillermo del Toro,2017,2h 3m,R
27. Dunkirk,94,7.8,Christopher Nolan,2017,1h 46m,PG-13
"28. Three Billboards Outside Ebbing, Missouri",88,8.1,Martin McDonagh,2017,1h 55m,R
29. Lady Bird,93,7.4,Greta Gerwig,2017,1h 34m,R
30. The Post,83,7.2,Steven Spielberg,2017,1h 56m,PG-13
31. Get Out,85,7.8,Jordan Peele,2017,1h 44m,R
32. Call Me by Your Name,94,7.8,Luca Guadagnino,2017,2h 12m,R
33. Darkest Hour,75,7.4,Joe Wright,2017,2h 5m,PG-13
34. All the Money in the World,72,6.8,Ridley Scott,2017,2h 12m,R
35. Moonlight,99,7.4,Barry Jenkins,2016,1h 51m,R
36. Arrival,81,7.9,Denis Villeneuve,2016,1h 56m,PG-13
37. Fences,79,7.2,Denzel Washington,2016,2h 19m,PG-13
38. Hacksaw Ridge,71,8.1,Mel Gibson,2016,2h 19m,R
39. Hell or High Water,88,7.6,David Mackenzie,2016,1h 42m,R
40. Hidden Figures,74,7.8,Theodore Melfi,2016,2h 7m,PG
41. La La Land,94,8.0,Damien Chazelle,2016,2h 8m,PG-13
42. Lion,69,8.0,Garth Davis,2016,1h 58m,PG-13
43. Manchester by the Sea,96,7.8,Kenneth Lonergan,2016,2h 17m,R
44. Spotlight,93,8.1,Tom McCarthy,2015,2h 9m,R
45. The Big Short,81,7.8,Adam McKay,2015,2h 10m,R
46. Bridge of Spies,81,7.6,Steven Spielberg,2015,2h 22m,PG-13
47. Brooklyn,88,7.5,John Crowley,2015,1h 57m,PG-13
48. Mad Max: Fury Road,90,8.1,George Miller,2015,2h,R
49. The Martian,80,8.0,Ridley Scott,2015,2h 24m,PG-13
50. The Revenant,76,8.0,Alejandro G. Iñárritu,2015,2h 36m,R
51. Room,86,8.1,Lenny Abrahamson,2015,1h 58m,R
52. Birdman or (The Unexpected Virtue of Ignorance),87,7.7,Alejandro G. Iñárritu,2014,1h 59m,R
53. American Sniper,73,7.3,Clint Eastwood,2014,2h 13m,R
54. Boyhood,100,7.9,Richard Linklater,2014,2h 45m,R
55. The Imitation Game,71,8.0,Morten Tyldum,2014,1h 54m,PG-13
56. The Grand Budapest Hotel,88,8.1,Wes Anderson,2014,1h 39m,R
57. Selma,79,7.5,Ava DuVernay,2014,2h 8m,PG-13
58. The Theory of Everything,71,7.7,James Marsh,2014,2h 3m,PG-13
59. Whiplash,89,8.5,Damien Chazelle,2014,1h 46m,R
60. 12 Years a Slave,96,8.1,Steve McQueen,2013,2h 14m,R
61. American Hustle,90,7.2,David O. Russell,2013,2h 18m,R
62. Captain Phillips,82,7.8,Paul Greengrass,2013,2h 14m,PG-13
63. Dallas Buyers Club,77,7.9,Jean-Marc Vallée,2013,1h 57m,R
64. Gravity,96,7.7,Alfonso Cuarón,2013,1h 31m,PG-13
65. Her,91,8.0,Spike Jonze,2013,2h 6m,R
66. Nebraska,86,7.7,Alexander Payne,2013,1h 55m,R
67. Philomena,77,7.6,Stephen Frears,2013,1h 38m,PG-13
68. The Wolf of Wall Street,75,8.2,Martin Scorsese,2013,3h,R
69. Argo,86,7.7,Ben Affleck,2012,2h,R
70. Beasts of the Southern Wild,86,7.2,Benh Zeitlin,2012,1h 33m,PG-13
71. Zero Dark Thirty,95,7.4,Kathryn Bigelow,2012,2h 37m,R
72. Amour,95,7.9,Michael Haneke,2012,2h 7m,PG-13
73. Silver Linings Playbook,81,7.7,David O. Russell,2012,2h 2m,R
74. Lincoln,87,7.3,Steven Spielberg,2012,2h 30m,PG-13
75. Life of Pi,79,7.9,Ang Lee,2012,2h 7m,PG
76. Les Misérables,63,7.5,Tom Hooper,2012,2h 38m,PG-13
77. Django Unchained,81,8.5,Quentin Tarantino,2012,2h 45m,R
78. The Artist,89,7.8,Michel Hazanavicius,2011,1h 40m,PG-13
79. The Tree of Life,85,6.8,Terrence Malick,2011,2h 19m,PG-13
80. The Descendants,84,7.3,Alexander Payne,2011,1h 55m,R
81. Extremely Loud & Incredibly Close,46,6.9,Stephen Daldry,2011,2h 9m,PG-13
82. The Help,62,8.1,Tate Taylor,2011,2h 26m,PG-13
83. Hugo,83,7.5,Martin Scorsese,2011,2h 6m,PG
84. Midnight in Paris,81,7.6,Woody Allen,2011,1h 34m,PG-13
85. Moneyball,87,7.6,Bennett Miller,2011,2h 13m,PG-13
86. War Horse,72,7.2,Steven Spielberg,2011,2h 26m,PG-13
87. The King's Speech,88,8.0,Tom Hooper,2010,1h 58m,R
88. 127 Hours,82,7.5,Danny Boyle,2010,1h 34m,R
89. Black Swan,79,8.0,Darren Aronofsky,2010,1h 48m,R
90. The Fighter,79,7.8,David O. Russell,2010,1h 56m,R
91. Inception,74,8.8,Christopher Nolan,2010,2h 28m,PG-13
92. The Kids Are All Right,86,7.0,Lisa Cholodenko,2010,1h 46m,R
93. The Social Network,95,7.8,David Fincher,2010,2h,PG-13
94. Toy Story 3,92,8.3,Lee Unkrich,2010,1h 43m,G
95. True Grit,80,7.6,Ethan Coen,2010,1h 50m,PG-13
96. The Hurt Locker,95,7.5,Joel Coen,2008,2h 11m,R
97. A Serious Man,88,7.0,Kathryn Bigelow,2009,1h 46m,R
98. An Education,85,7.2,Ethan Coen,2009,1h 40m,PG-13
99. Avatar,83,7.9,Joel Coen,2009,2h 42m,PG-13
100. District 9,81,7.9,Lone Scherfig,2009,1h 52m,R
101. Inglourious Basterds,69,8.4,James Cameron,2009,2h 33m,R
102. Precious,78,7.3,Neill Blomkamp,2009,1h 50m,Not Rated
103. The Blind Side,53,7.6,Quentin Tarantino,2009,2h 9m,PG-13
104. Up,88,8.3,Lee Daniels,2009,1h 36m,PG
105. Up in the Air,83,7.4,John Lee Hancock,2009,1h 49m,R
106. Slumdog Millionaire,84,8.0,Pete Docter,2008,2h,R
107. The Curious Case of Benjamin Button,70,7.8,Bob Peterson,2008,2h 46m,PG-13
